NCM,PARAMETRIZAÇÃO
73170030,4202
73170090,4202
73181100,4202
73181400,4202
73181500,4202
73181600,4202
73181900,4202
73182100,4202
73182200,4202
73182300,4202
73182400,4202
73182900,4202
73194000,4202
73199000,4202
73201000,4351
73202090,4202
73209000,4202
73211100,4202
73211200,4202
73211900,4202
73218100,4202
73218200,4202
73218900,4202
73219000,4202
73221100,4202
73221900,4202
73229010,     
73229090,4202
73231000,4202
73239100,4202
73239200,4202
73239300,4202
73239400,4202
73239900,4202
73242900,4202
73251000,4202
73259100,4202
73259910,4202
73259990,4202
73261100,4202
73261900,4202
73262000,4202
73269010,4202
73269090,4202
74010000,4202
74020000,4202
74031100,4202
74031200,4202
74031300,4202
74031900,4202
74032100,4202
74032200,4202
74032900,4202
74040000,4202
74050000,4202
74061000,4202
74062000,4202
74071010,4202
74071021,4202
74071029,4202
74072110,4202
74072120,4202
74072910,4202
74072921,4202
74072929,4202
74081100,4202
74081900,4202
74082100,4202
74082200,4202
74082911,4202
74082919,4202
74082990,4202
74091100,4202
74091900,4202
74092100,4202
74092900,4202
74093111,4202
74093119,4202
74093190,4202
74093900,4202
74094010,4202
74094090,4202
74099000,4202
74101112,4202
74101113,4202
74101119,4202
74101190,4202
74101200,4202
74102110,4202
74102120,4202
74102130,4202
74102190,4202
74102200,4202
74111010,4202
74111090,4202
74112110,4202
74112190,4202
74112210,4202
74112290,4202
74112910,4202
74112990,4202
74121000,4202
74122000,4202
74130000,4202
74151000,4202
74152100,4202
74152900,4202
74153300,4202
74153900,4202
74181000,4202
74191000,4202
9092200,4202
9093100,4202
9093200,4202
9096110,4202
9096120,4202
9096190,4202
9096210,4202
9096220,4202
9096290,4202
9101200,4202
9102000,4202
9103000,4202
9109100,4202
9109900,4202
10011100,4003
10019100,4003
10019900,4202
10021000,4003
10029000,4202
10031000,4003
10039010,4202
10039080,4202
10039090,4202
10041000,4003
10049000,4202
10051000,4003
10059010,4201
10059090,4202
10061010,4003
10061091,4201
10061092,4201
10062010,4201
10062020,4201
10063011,4201
10063019,4201
10063021,4201
10063029,4201
10064000,4201
10071000,4003
10079000,4202
10081010,4003
